!!SYSTEM_INI
NUM_CHANS=1
JEDEC_DATA_BUS_BITS=64
TRANS_QUEUE_DEPTH=64
CMD_QUEUE_DEPTH=32
EPOCH_LENGTH=100000
USE_LOW_POWER=false
TOTAL_ROW_ACCESSES=4
ROW_BUFFER_POLICY=close_page
SCHEDULING_POLICY=rank_then_bank_round_robin
ADDRESS_MAPPING_SCHEME=scheme2
QUEUING_STRUCTURE=per_rank
DEBUG_TRANS_Q=false
DEBUG_CMD_Q=false
DEBUG_ADDR_MAP=false
DEBUG_BANKSTATE=false
DEBUG_BUS=false
DEBUG_BANKS=false
DEBUG_POWER=false
VIS_FILE_OUTPUT=true
VERIFICATION_OUTPUT=false
NUM_RANKS=1
!!DEVICE_INI
NUM_BANKS=16
NUM_ROWS=65536
NUM_COLS=2048
DEVICE_WIDTH=4
REFRESH_PERIOD=7800
tCK=1.5
CL=10
AL=0
BL=8
tRAS=24
tRCD=10
tRRD=4
tRC=34
tRP=10
tCCD=4
tRTP=5
tWTR=5
tWR=10
tRTRS=1
tRFC=107
tFAW=20
tCKE=4
tXP=4
tCMD=1
IDD0=130
IDD1=155
IDD2P=10
IDD2Q=70
IDD2N=70
IDD3Pf=60
IDD3Ps=60
IDD3N=90
IDD4W=300
IDD4R=255
IDD5=305
IDD6=9
IDD6L=12
IDD7=460
Vdd=1.5
!!EPOCH_DATA
ms,Background_Power[0][0],ACT_PRE_Power[0][0],Burst_Power[0][0],Refresh_Power[0][0],Bandwidth[0][0][0],Average_Latency[0][0][0],Bandwidth[0][0][1],Average_Latency[0][0][1],Bandwidth[0][0][2],Average_Latency[0][0][2],Bandwidth[0][0][3],Average_Latency[0][0][3],Bandwidth[0][0][4],Average_Latency[0][0][4],Bandwidth[0][0][5],Average_Latency[0][0][5],Bandwidth[0][0][6],Average_Latency[0][0][6],Bandwidth[0][0][7],Average_Latency[0][0][7],Bandwidth[0][0][8],Average_Latency[0][0][8],Bandwidth[0][0][9],Average_Latency[0][0][9],Bandwidth[0][0][10],Average_Latency[0][0][10],Bandwidth[0][0][11],Average_Latency[0][0][11],Bandwidth[0][0][12],Average_Latency[0][0][12],Bandwidth[0][0][13],Average_Latency[0][0][13],Bandwidth[0][0][14],Average_Latency[0][0][14],Bandwidth[0][0][15],Average_Latency[0][0][15],Rank_Aggregate_Bandwidth[0][0],Rank_Average_Bandwidth[0][0],Aggregate_Bandwidth[0],Average_Bandwidth[0],
7.35,2.13008,3.90237,1.8667,0.104903,0.262658,134.504,0.259479,137.814,0.258287,139.625,0.257095,134.42,0.255903,136.219,0.2563,135.519,0.255505,136.513,0.255505,138.991,0.257889,136.167,0.258684,137.413,0.259876,137.285,0.261466,136.346,0.261863,139.226,0.260274,135.274,0.260671,140.259,0.258287,137.025,4.13974,4.13974,4.13974,0.258734,
7.5,2.15045,5.14538,2.46426,0.104903,0.342528,190.066,0.334183,187.569,0.334183,182.458,0.33021,185.332,0.348488,194.529,0.352859,201.699,0.349681,200.111,0.336965,191.935,0.332594,192.108,0.338157,197.521,0.341733,186.884,0.341336,190.795,0.363191,224.452,0.345707,196.233,0.336568,184.418,0.332991,186.516,5.46137,5.46137,5.46137,0.341336,
7.65,2.15909,6.52205,3.11226,0.104903,0.432332,377.207,0.423988,373.545,0.421604,367.958,0.413259,362.438,0.435114,372.646,0.433524,371.175,0.444651,376.761,0.433922,372.414,0.43114,374.015,0.437498,374.174,0.431538,375.436,0.430743,373.036,0.435114,369.153,0.429948,364.384,0.434717,368.956,0.45379,380.487,6.92288,6.92288,6.92288,0.43268,
7.8,2.15909,6.46364,3.09486,0.104903,0.446637,381.62,0.430743,377.435,0.430743,368.667,0.405709,370.195,0.445445,376.944,0.426769,375.789,0.427961,372.173,0.418425,376.917,0.433524,380.058,0.410875,382.147,0.444651,392.746,0.439088,380.877,0.420809,382.352,0.413656,371.559,0.449816,390.609,0.414054,376.383,6.85891,6.85891,6.85891,0.428682,
7.95,2.15904,6.45653,3.09668,0.110424,0.420809,397.983,0.432332,394.982,0.425975,388.544,0.433127,399.545,0.425975,402.178,0.423988,392.419,0.422398,400.329,0.434717,389.962,0.433922,401.105,0.43114,393.016,0.425577,392.045,0.437498,392.54,0.428359,388.595,0.432332,385.84,0.429153,398.249,0.416835,394.584,6.85414,6.85414,6.85414,0.428384,
8.1,2.15909,6.4715,3.10932,0.104903,0.427564,375.812,0.429551,372.528,0.42518,379.522,0.417233,369.669,0.445048,383.653,0.428756,373.899,0.435511,379.683,0.435511,371.283,0.428359,380.486,0.42359,390.86,0.434717,389.287,0.435909,387.785,0.426372,373.442,0.426769,371.883,0.429153,377.294,0.418027,370.835,6.86725,6.86725,6.86725,0.429203,
8.25,2.15909,6.89907,3.31443,0.104903,0.447432,425.247,0.465711,425.174,0.456969,424.984,0.456969,427.198,0.462532,425.258,0.466506,431.036,0.449419,427.434,0.462135,425.122,0.45379,425.828,0.452995,419.922,0.462929,422.552,0.454585,426.531,0.45379,422.825,0.458558,422.44,0.456572,429.472,0.462135,433.936,7.32303,7.32303,7.32303,0.457689,
8.4,2.15909,7.14318,3.40707,0.104903,0.474056,405.699,0.475645,409.694,0.470082,405.439,0.480413,408.251,0.473658,409.54,0.472864,406.569,0.469287,405.505,0.472069,407.683,0.472466,408.104,0.473658,403.344,0.472069,407.835,0.475248,405.522,0.472466,403.958,0.476042,408.639,0.472069,407.827,0.477632,404.957,7.57972,7.57972,7.57972,0.473733,
8.55,2.15904,7.01888,3.25061,0.110424,0.462532,330.743,0.46889,333.869,0.465711,331.161,0.468493,330.057,0.464519,332.324,0.468493,330.261,0.463327,329.575,0.458558,323.949,0.46134,326.593,0.473261,330.317,0.455777,330.972,0.458558,328.486,0.462532,329.616,0.472864,336.882,0.471274,331.469,0.473658,337.842,7.44979,7.44979,7.44979,0.465612,
8.7,2.15909,7.11847,3.1352,0.104903,0.476837,231.96,0.470082,229.858,0.480811,234.166,0.485977,233.546,0.457764,228.554,0.470877,229.228,0.477235,229.004,0.472864,231.288,0.474453,229.727,0.47644,230.991,0.471671,229.58,0.4673,228.828,0.46889,231.755,0.472864,232.752,0.460148,232.137,0.471671,231.672,7.55588,7.55588,7.55588,0.472243,
